,league_,season_,team_,player_,nation_,pos_,age_,born_,90s_,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast_,xAG_,Expected_xA,Expected_A-xAG,KP_,1/3_,PPA_,CrsPA_,PrgP_,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Att_,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int_,Tkl+Int_,Clr_,Err_,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,90s__remove,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,league__remove,season__remove,nation__remove,pos__remove,age__remove,born__remove,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off
82,WUS-Women US A,2024,Current,Claire Hutton,USA,MF,18,2006,18.4,0,33,9,27.3,1.8,0.49,0.0,0.0,22.2,0,0,0,2.0,2.0,0.06,-2.0,-2.0,WUS-Women US A,2024,USA,MF,18,2006,18.4,584,767,76.1,9318,3318,317,373,85.0,206,261,78.9,47,83,56.6,1,1.2,1.2,-0.2,15,71,9,0,90,WUS-Women US A,2024,USA,MF,18,2006,18.4,767,752,13,11,0,1,2,1,0,0,0,0,584,2,19,WUS-Women US A,2024,USA,MF,18,2006,18.4,47,2.56,37,0,0,6,0,4,9,0.49,8,0,0,1,0,0,WUS-Women US A,2024,USA,MF,18,2006,18.4,60,44,20,32,8,16,32,50.0,16,25,4,21,36,96,29,1,WUS-Women US A,2024,USA,MF,18,2006,18.4,1013,38,227,631,168,25,1013,33,20,60.6,12,36.4,520,2268,949,18,18,3,26,16,561,27,WUS-Women US A,2024,USA,MF,18,2006,18.4,3,0,0,20,15,1,2,36,44,0,0,0,132,26,29,47.3,WUS-Women US A,2024,USA,MF,18,2006,22,1653,75,70.6,18.4,19,83,10,3,27,0,2.13,50,25,25,1.36,1.23,42.0,17.4,24.6,1.34,0.75
83,WUS-Women US A,2024,Current,Claire Lavogez,FRA,"FW,MF",29,1994,5.3,2,23,9,39.1,4.3,1.68,0.09,0.22,21.5,1,0,0,2.8,2.8,0.12,-0.8,-0.8,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,110,198,55.6,1728,475,59,86,68.6,40,64,62.5,8,28,28.6,0,0.3,0.2,-0.3,4,13,4,1,22,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,198,181,16,6,0,0,16,1,4,2,1,0,110,1,12,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,12,2.24,6,0,1,4,1,0,1,0.19,0,0,0,1,0,0,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,15,10,3,9,3,5,12,41.7,7,14,1,13,2,17,6,0,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,328,7,50,143,140,20,328,22,7,31.8,14,63.6,177,802,277,9,8,1,33,8,207,48,WUS-Women US A,2024,FRA,"FW,MF",29,1994,5.3,2,0,0,17,12,4,16,2,10,0,0,0,35,10,10,50.0,WUS-Women US A,2024,FRA,"FW,MF",29,1994,14,481,34,20.6,5.3,4,58,0,10,25,2,2.07,13,10,3,0.56,-0.55,12.1,5.7,6.4,1.2,0.09
84,WUS-Women US A,2024,Current,Debinha,BRA,"FW,MF",32,1991,16.3,3,39,10,25.6,2.4,0.61,0.08,0.3,17.7,1,0,0,4.8,4.8,0.12,-1.8,-1.8,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,359,537,66.9,5343,2171,207,260,79.6,116,172,67.4,21,58,36.2,6,5.7,3.4,0.3,43,39,36,4,83,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,537,492,42,9,5,0,42,10,16,14,2,0,359,3,20,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,87,5.34,73,2,8,2,0,2,11,0.68,8,0,1,1,0,1,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,30,19,5,13,12,10,24,41.7,14,22,1,21,16,46,5,0,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,769,2,70,307,406,72,769,73,37,50.7,36,49.3,425,2125,1051,38,26,16,48,28,478,105,WUS-Women US A,2024,BRA,"FW,MF",32,1991,16.3,0,0,0,5,9,6,42,16,19,0,0,0,83,4,9,30.8,WUS-Women US A,2024,BRA,"FW,MF",32,1991,22,1464,67,62.6,16.3,17,78,3,5,27,0,2.0,33,16,17,1.05,0.12,36.4,13.0,23.3,1.43,0.84
85,WUS-Women US A,2024,Current,Desiree Scott,CAN,MF,36,1987,1.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,WUS-Women US A,2024,CAN,MF,36,1987,1.5,53,66,80.3,775,267,28,37,75.7,22,26,84.6,1,1,100.0,0,0.0,0.0,0.0,0,4,0,0,5,WUS-Women US A,2024,CAN,MF,36,1987,1.5,66,65,1,1,0,0,0,0,0,0,0,0,53,0,0,WUS-Women US A,2024,CAN,MF,36,1987,1.5,2,1.32,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,CAN,MF,36,1987,1.5,8,5,7,1,0,4,5,80.0,1,1,1,0,1,9,3,0,WUS-Women US A,2024,CAN,MF,36,1987,1.5,79,3,28,50,2,1,79,2,2,100.0,0,0.0,37,143,65,1,0,0,2,1,39,0,WUS-Women US A,2024,CAN,MF,36,1987,1.5,0,0,0,1,0,0,0,1,5,0,0,0,15,0,1,0.0,WUS-Women US A,2024,CAN,MF,36,1987,11,136,12,5.8,1.5,0,,0,11,12,11,2.42,0,3,-3,-1.99,-3.17,2.3,1.8,0.5,0.32,-0.85
86,WUS-Women US A,2024,Current,Elizabeth Ball,USA,DF,28,1995,13.6,1,4,1,25.0,0.29,0.07,0.25,1.0,13.6,0,0,0,0.8,0.8,0.21,0.2,0.2,WUS-Women US A,2024,USA,DF,28,1995,13.6,423,533,79.4,8159,3124,135,157,86.0,234,276,84.8,45,83,54.2,3,0.8,0.2,2.2,6,28,3,1,29,WUS-Women US A,2024,USA,DF,28,1995,13.6,533,499,34,22,1,1,2,12,0,0,0,0,423,0,1,WUS-Women US A,2024,USA,DF,28,1995,13.6,11,0.81,9,0,0,1,0,1,4,0.29,3,0,0,1,0,0,WUS-Women US A,2024,USA,DF,28,1995,13.6,22,14,15,7,0,13,24,54.2,11,20,14,6,17,39,67,0,WUS-Women US A,2024,USA,DF,28,1995,13.6,692,111,394,282,21,5,692,3,1,33.3,2,66.7,318,1208,599,5,4,0,7,1,356,0,WUS-Women US A,2024,USA,DF,28,1995,13.6,0,0,0,8,0,0,2,17,14,0,0,0,41,22,12,64.7,WUS-Women US A,2024,USA,DF,28,1995,19,1221,64,52.2,13.6,12,87,10,7,25,7,2.42,35,18,17,1.25,0.53,28.4,14.0,14.4,1.06,-0.13
87,WUS-Women US A,2024,Current,Ellie Wheeler,,"DF,MF",22,2001,15.9,1,9,4,44.4,0.57,0.25,0.11,0.25,14.2,0,0,0,0.5,0.5,0.06,0.5,0.5,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,383,568,67.4,6232,2390,193,246,78.5,164,235,69.8,22,60,36.7,0,0.6,0.7,-0.6,9,21,11,5,36,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,568,437,129,5,0,0,33,123,1,0,1,0,383,2,12,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,27,1.7,19,3,1,2,1,1,2,0.13,2,0,0,0,0,0,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,36,27,23,6,7,24,39,61.5,15,14,4,10,21,57,49,0,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,761,47,277,278,216,28,761,26,15,57.7,10,38.5,312,1823,938,26,17,9,28,11,346,60,WUS-Women US A,2024,,"DF,MF",22,2001,15.9,2,0,0,14,14,3,33,21,27,0,0,0,62,15,22,40.5,WUS-Women US A,2024,,"DF,MF",22,2001,23,1429,62,61.1,15.9,14,87,13,9,24,3,2.04,34,24,10,0.63,-0.95,27.0,16.7,10.3,0.65,-1.22
88,WUS-Women US A,2024,Current,Gabrielle Robinson,USA,DF,22,2001,10.3,1,9,3,33.3,0.88,0.29,0.11,0.33,16.5,0,0,0,0.8,0.8,0.09,0.2,0.2,WUS-Women US A,2024,USA,DF,22,2001,10.3,432,511,84.5,8500,3358,125,140,89.3,270,298,90.6,37,67,55.2,0,0.0,0.1,0.0,0,26,1,0,38,WUS-Women US A,2024,USA,DF,22,2001,10.3,511,491,19,15,0,1,1,0,0,0,0,0,432,1,2,WUS-Women US A,2024,USA,DF,22,2001,10.3,8,0.78,7,0,0,1,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,USA,DF,22,2001,10.3,20,15,15,5,0,10,12,83.3,2,18,12,6,15,35,54,0,WUS-Women US A,2024,USA,DF,22,2001,10.3,643,105,338,290,18,11,643,5,3,60.0,2,40.0,395,1590,656,4,1,0,6,0,386,2,WUS-Women US A,2024,USA,DF,22,2001,10.3,2,0,0,9,10,0,1,15,15,0,0,0,64,17,15,53.1,WUS-Women US A,2024,USA,DF,22,2001,11,925,84,39.5,10.3,11,84,10,0,,0,2.27,25,15,10,0.97,-0.04,22.1,9.7,12.4,1.21,0.14
89,WUS-Women US A,2024,Current,Hailie Mace,USA,DF,26,1997,20.0,0,15,2,13.3,0.75,0.1,0.0,0.0,23.8,1,0,0,0.9,0.9,0.06,-0.9,-0.9,WUS-Women US A,2024,USA,DF,26,1997,20.0,879,1132,77.7,17560,6942,295,344,85.8,452,549,82.3,122,204,59.8,1,1.1,1.7,-0.1,20,85,19,8,90,WUS-Women US A,2024,USA,DF,26,1997,20.0,1132,902,225,27,0,11,30,197,1,0,0,1,879,5,18,WUS-Women US A,2024,USA,DF,26,1997,20.0,44,2.2,32,7,5,0,0,0,5,0.25,4,1,0,0,0,0,WUS-Women US A,2024,USA,DF,26,1997,20.0,56,35,29,21,6,34,56,60.7,22,34,10,24,39,95,51,1,WUS-Women US A,2024,USA,DF,26,1997,20.0,1368,76,537,621,233,10,1368,37,20,54.1,14,37.8,656,3401,1857,30,31,3,14,7,690,29,WUS-Women US A,2024,USA,DF,26,1997,20.0,5,0,0,16,12,0,30,39,35,0,0,0,123,8,8,50.0,WUS-Women US A,2024,USA,DF,26,1997,23,1798,78,76.8,20.0,20,84,13,3,38,0,1.96,44,21,23,1.15,0.65,42.9,17.1,25.8,1.29,0.73
90,WUS-Women US A,2024,Current,Hildah Magaia,RSA,"FW,MF",29,1994,0.6,0,2,1,50.0,3.6,1.8,0.0,0.0,12.3,0,0,0,0.6,0.6,0.3,-0.6,-0.6,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,12,18,66.7,185,54,7,12,58.3,4,4,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,18,18,0,0,0,0,0,0,0,0,0,0,12,0,1,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,1,1.8,0,0,0,0,0,1,1,1.8,0,0,0,0,0,1,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,6,4,6,0,0,2,5,40.0,3,0,0,0,1,7,3,0,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,38,3,15,15,9,3,38,1,0,0.0,1,100.0,19,65,19,0,1,0,5,1,18,3,WUS-Women US A,2024,RSA,"FW,MF",29,1994,0.6,1,0,0,1,1,0,0,1,4,0,0,0,5,0,0,,WUS-Women US A,2024,RSA,"FW,MF",29,1994,6,50,8,2.1,0.6,0,,0,6,8,3,2.17,1,1,0,0.0,-1.02,2.7,0.8,1.9,3.37,2.3
91,WUS-Women US A,2024,Current,Isabel Rodriguez,USA,DF,24,1999,16.8,1,13,3,23.1,0.77,0.18,0.08,0.33,19.2,0,0,0,0.7,0.7,0.05,0.3,0.3,WUS-Women US A,2024,USA,DF,24,1999,16.8,788,1171,67.3,14337,7175,355,424,83.7,330,432,76.4,92,263,35.0,2,3.9,4.3,-1.9,37,90,28,12,101,WUS-Women US A,2024,USA,DF,24,1999,16.8,1171,873,295,40,1,0,111,204,51,36,12,0,788,3,28,WUS-Women US A,2024,USA,DF,24,1999,16.8,68,4.04,40,22,2,2,0,2,8,0.48,5,2,0,1,0,0,WUS-Women US A,2024,USA,DF,24,1999,16.8,34,24,11,17,6,9,17,52.9,8,24,3,21,33,67,41,0,WUS-Women US A,2024,USA,DF,24,1999,16.8,1343,49,353,609,389,22,1343,11,5,45.5,6,54.5,567,2433,1336,33,20,3,19,7,669,83,WUS-Women US A,2024,USA,DF,24,1999,16.8,1,0,0,15,10,1,111,33,24,0,0,0,79,18,20,47.4,WUS-Women US A,2024,USA,DF,24,1999,21,1513,72,64.7,16.8,18,82,13,3,13,5,1.95,36,19,17,1.01,0.03,39.1,15.4,23.7,1.41,0.82
92,WUS-Women US A,2024,Current,Kayla Sharples,USA,DF,26,1997,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,WUS-Women US A,2024,USA,DF,26,1997,7.7,450,510,88.2,8918,3023,111,121,91.7,298,323,92.3,40,61,65.6,0,0.2,0.0,-0.2,1,22,1,0,13,WUS-Women US A,2024,USA,DF,26,1997,7.7,510,507,3,3,0,0,0,0,0,0,0,0,450,0,4,WUS-Women US A,2024,USA,DF,26,1997,7.7,9,1.18,9,0,0,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,USA,DF,26,1997,7.7,8,6,4,3,1,3,5,60.0,2,6,6,0,13,21,31,0,WUS-Women US A,2024,USA,DF,26,1997,7.7,574,81,366,204,6,4,574,1,0,0.0,1,100.0,416,1713,946,1,1,1,1,1,445,3,WUS-Women US A,2024,USA,DF,26,1997,7.7,0,0,0,2,3,0,0,13,6,0,0,0,25,6,3,66.7,WUS-Women US A,2024,USA,DF,26,1997,8,689,86,29.4,7.7,8,86,7,0,,1,2.3,15,3,12,1.57,0.8,13.3,6.4,7.0,0.91,-0.3
93,WUS-Women US A,2024,Current,Kristen Hamilton,USA,"FW,MF",31,1992,1.0,1,2,1,50.0,2.07,1.03,0.5,1.0,13.8,0,0,0,0.3,0.3,0.16,0.7,0.7,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,12,15,80.0,229,55,3,4,75.0,9,11,81.8,0,0,,0,0.0,0.0,0.0,0,1,1,1,4,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,15,12,3,0,0,0,1,0,0,0,0,0,12,0,0,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,2,2.09,1,0,0,0,1,0,1,1.05,1,0,0,0,0,0,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,23,0,4,12,7,3,23,1,1,100.0,0,0.0,11,50,29,1,0,0,2,1,11,2,WUS-Women US A,2024,USA,"FW,MF",31,1992,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,WUS-Women US A,2024,USA,"FW,MF",31,1992,3,87,29,3.7,1.0,0,,0,3,29,8,1.5,3,3,0,0.0,-1.04,1.0,1.3,-0.3,-0.33,-1.51
94,WUS-Women US A,2024,Current,Lauren,BRA,DF,21,2002,0.9,1,4,2,50.0,4.62,2.31,0.25,0.5,11.9,0,0,0,0.3,0.3,0.09,0.7,0.7,WUS-Women US A,2024,BRA,DF,21,2002,0.9,37,49,75.5,748,267,10,12,83.3,23,27,85.2,4,9,44.4,0,0.0,0.0,0.0,0,4,0,0,3,WUS-Women US A,2024,BRA,DF,21,2002,0.9,49,48,1,0,0,0,0,1,0,0,0,0,37,0,0,WUS-Women US A,2024,BRA,DF,21,2002,0.9,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,BRA,DF,21,2002,0.9,1,1,0,1,0,1,1,100.0,0,1,0,1,2,3,1,0,WUS-Women US A,2024,BRA,DF,21,2002,0.9,59,7,24,31,4,4,59,0,0,,0,,27,133,80,1,0,0,0,0,41,1,WUS-Women US A,2024,BRA,DF,21,2002,0.9,0,0,0,1,0,0,0,2,1,0,0,0,1,2,3,40.0,WUS-Women US A,2024,BRA,DF,21,2002,3,78,26,3.3,0.9,1,72,0,2,3,4,2.0,5,2,3,3.46,2.55,3.3,1.7,1.6,1.85,0.75
95,WUS-Women US A,2024,Current,Lo'eau LaBonta,USA,MF,30,1993,21.3,6,30,8,26.7,1.41,0.37,0.1,0.38,21.7,0,3,3,5.1,2.7,0.09,0.9,0.3,WUS-Women US A,2024,USA,MF,30,1993,21.3,626,877,71.4,10968,3466,288,361,79.8,266,342,77.8,64,128,50.0,1,2.3,2.1,-1.3,21,73,20,3,89,WUS-Women US A,2024,USA,MF,30,1993,21.3,877,813,55,35,6,1,14,18,0,0,0,0,626,9,13,WUS-Women US A,2024,USA,MF,30,1993,21.3,52,2.44,40,1,1,2,3,5,8,0.37,6,0,1,0,1,0,WUS-Women US A,2024,USA,MF,30,1993,21.3,44,36,16,19,9,13,32,40.6,19,35,3,32,37,81,20,0,WUS-Women US A,2024,USA,MF,30,1993,21.3,1092,42,272,589,244,27,1089,11,7,63.6,3,27.3,515,2275,1075,25,17,4,22,7,574,30,WUS-Women US A,2024,USA,MF,30,1993,21.3,2,0,0,21,31,0,14,37,36,0,0,0,159,17,15,53.1,WUS-Women US A,2024,USA,MF,30,1993,24,1920,80,82.1,21.3,21,88,16,3,26,0,2.08,49,25,24,1.13,0.7,46.2,19.0,27.2,1.28,0.86
96,WUS-Women US A,2024,Current,Michelle Cooper,USA,"FW,MF",21,2002,14.9,3,39,11,28.2,2.61,0.74,0.08,0.27,17.4,0,0,0,3.5,3.5,0.09,-0.5,-0.5,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,294,463,63.5,4720,1629,159,201,79.1,104,175,59.4,24,49,49.0,2,3.2,2.7,-1.2,23,20,22,7,43,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,463,421,35,3,3,1,54,27,4,0,2,0,294,7,16,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,55,3.68,40,1,4,6,2,2,6,0.4,4,0,0,1,1,0,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,34,22,13,14,7,16,32,50.0,16,25,2,23,13,47,8,1,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,661,10,112,227,338,69,661,49,20,40.8,27,55.1,359,2393,1437,50,28,20,33,22,398,109,WUS-Women US A,2024,USA,"FW,MF",21,2002,14.9,2,0,0,27,27,3,54,13,22,1,0,0,83,11,14,44.0,WUS-Women US A,2024,USA,"FW,MF",21,2002,21,1344,64,57.4,14.9,15,78,3,6,30,0,2.0,31,16,15,1.0,0.01,30.5,12.2,18.3,1.22,0.23
97,WUS-Women US A,2024,Current,Mwanalima Jereko,,MF,,,0.5,0,4,0,0.0,8.0,0.0,0.0,,21.5,0,0,0,0.7,0.7,0.17,-0.7,-0.7,WUS-Women US A,2024,,MF,,,0.5,15,19,78.9,243,55,6,8,75.0,6,6,100.0,2,4,50.0,0,0.1,0.2,-0.1,2,1,1,1,1,WUS-Women US A,2024,,MF,,,0.5,19,19,0,0,0,0,2,0,0,0,0,0,15,0,0,WUS-Women US A,2024,,MF,,,0.5,2,4.0,1,0,1,0,0,0,0,0.0,0,0,0,0,0,0,WUS-Women US A,2024,,MF,,,0.5,2,1,1,1,0,0,1,0.0,1,1,0,1,0,2,0,0,WUS-Women US A,2024,,MF,,,0.5,29,0,6,10,13,2,29,3,1,33.3,2,66.7,15,69,32,0,0,0,0,1,18,1,WUS-Women US A,2024,,MF,,,0.5,0,0,0,2,0,0,2,0,1,0,0,0,3,0,0,,WUS-Women US A,2024,,MF,,,3,45,15,1.9,0.5,0,,0,3,15,5,1.0,0,2,-2,-4.0,-5.1,1.1,0.4,0.8,1.52,0.41
98,WUS-Women US A,2024,Current,Nichelle Prince,CAN,FW,28,1995,8.1,2,23,8,34.8,2.83,0.98,0.09,0.25,15.4,0,0,0,2.8,2.8,0.12,-0.8,-0.8,WUS-Women US A,2024,CAN,FW,28,1995,8.1,134,194,69.1,1834,609,77,92,83.7,45,62,72.6,3,12,25.0,2,1.9,1.5,0.1,13,17,10,5,25,WUS-Women US A,2024,CAN,FW,28,1995,8.1,194,185,7,0,1,1,16,0,1,0,0,0,134,2,13,WUS-Women US A,2024,CAN,FW,28,1995,8.1,26,3.2,22,0,2,1,0,1,6,0.74,4,0,2,0,0,0,WUS-Women US A,2024,CAN,FW,28,1995,8.1,20,12,5,11,4,6,14,42.9,8,12,1,11,16,36,6,0,WUS-Women US A,2024,CAN,FW,28,1995,8.1,309,4,39,134,141,42,309,17,11,64.7,4,23.5,156,833,405,18,8,10,22,9,175,61,WUS-Women US A,2024,CAN,FW,28,1995,8.1,0,0,0,11,3,12,16,16,12,0,0,0,28,4,8,33.3,WUS-Women US A,2024,CAN,FW,28,1995,13,732,56,31.3,8.1,9,68,2,4,30,1,2.0,14,7,7,0.86,-0.2,14.4,7.7,6.7,0.82,-0.44
99,WUS-Women US A,2024,Current,Regan Steigleder,NOR,"DF,FW",25,1998,0.8,0,1,0,0.0,1.25,0.0,0.0,,17.1,0,0,0,0.0,0.0,0.04,0.0,0.0,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,49,57,86.0,815,313,23,25,92.0,23,24,95.8,3,7,42.9,0,0.0,0.0,0.0,0,2,1,1,5,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,57,38,19,0,0,0,1,19,0,0,0,0,49,0,1,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,3,3.75,2,0,0,1,0,0,1,1.25,1,0,0,0,0,0,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,2,1,2,0,0,0,0,,0,2,1,1,1,3,1,0,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,63,3,24,28,11,1,63,1,1,100.0,0,0.0,32,118,60,1,0,0,0,1,28,2,WUS-Women US A,2024,NOR,"DF,FW",25,1998,0.8,0,0,0,0,0,0,1,1,1,0,0,0,5,1,0,100.0,WUS-Women US A,2024,NOR,"DF,FW",25,1998,3,72,24,3.1,0.8,1,45,0,2,14,11,2.33,1,1,0,0.0,-1.03,1.5,0.8,0.7,0.94,-0.19
100,WUS-Women US A,2024,Current,Stine Ballisager Pedersen,DEN,DF,30,1994,11.9,1,3,1,33.3,0.25,0.08,0.33,1.0,5.8,0,0,0,0.8,0.8,0.27,0.2,0.2,WUS-Women US A,2024,DEN,DF,30,1994,11.9,574,686,83.7,12229,4415,134,157,85.4,360,393,91.6,78,125,62.4,0,0.1,0.1,-0.1,1,47,1,0,41,WUS-Women US A,2024,DEN,DF,30,1994,11.9,686,668,15,12,0,7,0,3,0,0,0,0,574,3,6,WUS-Women US A,2024,DEN,DF,30,1994,11.9,17,1.43,16,0,0,1,0,0,1,0.08,1,0,0,0,0,0,WUS-Women US A,2024,DEN,DF,30,1994,11.9,9,5,6,3,0,5,7,71.4,2,12,9,3,9,18,53,0,WUS-Women US A,2024,DEN,DF,30,1994,11.9,778,100,379,380,21,3,778,0,0,,0,,501,2399,1457,5,7,0,1,3,547,3,WUS-Women US A,2024,DEN,DF,30,1994,11.9,0,0,0,9,7,0,0,9,5,0,0,1,50,11,11,50.0,WUS-Women US A,2024,DEN,DF,30,1994,18,1067,59,45.6,11.9,11,90,11,7,11,8,2.21,20,17,3,0.25,-1.37,26.9,9.6,17.3,1.46,0.62
101,WUS-Women US A,2024,Current,Temwa Chawinga,MWI,FW,25,1998,23.8,20,106,58,54.7,4.45,2.44,0.19,0.34,14.0,0,0,0,18.1,18.1,0.17,1.9,1.9,WUS-Women US A,2024,MWI,FW,25,1998,23.8,391,555,70.5,5317,1192,238,294,81.0,121,175,69.1,11,25,44.0,5,5.1,2.9,-0.1,37,20,14,2,36,WUS-Women US A,2024,MWI,FW,25,1998,23.8,555,533,18,0,2,2,23,5,0,0,0,0,391,4,28,WUS-Women US A,2024,MWI,FW,25,1998,23.8,96,4.03,59,0,18,13,3,3,12,0.5,5,0,3,4,0,0,WUS-Women US A,2024,MWI,FW,25,1998,23.8,49,28,19,15,15,14,30,46.7,16,36,2,34,9,58,16,0,WUS-Women US A,2024,MWI,FW,25,1998,23.8,977,10,122,328,569,209,977,117,54,46.2,61,52.1,609,4955,2721,98,55,67,103,71,581,192,WUS-Women US A,2024,MWI,FW,25,1998,23.8,1,0,0,35,26,14,23,9,28,0,0,0,141,20,20,50.0,WUS-Women US A,2024,MWI,FW,25,1998,25,2142,86,91.5,23.8,24,88,19,1,28,0,2.04,50,28,22,0.92,-0.89,48.3,21.2,27.1,1.14,0.21
